"Param","Unit"
"Depth","m"
"Hydrogen 2","ppt"
"Diazinon","mg/m^3"
"Dibenz-ah-anthracene","mg/m^3"
"Dichlorprop","mg/m^3"
"Dieldrin","mg/m^3"
"Diethyl Phthalate","mg/m^3"
"Dimethyl Phthalate","mg/m^3"
"Di-n-butyl Phthalate","mg/m^3"
"Dioxans and Furans","pg/m^3"
"Diquat","g/m^3"
"Discharge Volume","m^3"
"Dissolved Inorganic Carbon","mg/l"
"Dissolved Inorganic Nitrogen","g/m^3"
"Dissolved Kjeldahl Nitrogen","g/m^3"
"Dissolved Non-Purgeable Organic Carbon","g/m^3"
"Dissolved Organic Carbon","g/m^3"
"Dissolved organic nitrogen","g/m^3"
"Dissolved organic phosphorus","g/m^3"
"Dissolved Oxygen","mg/l"
"Dissolved Oxygen 1st Volume","mg/l"
"Dissolved Oxygen 2nd Volume","mg/l"
"Dissolved oxygen 5 week average","g/m^3"
"Dissolved Oxygen Saturation","%"
"Dissolved Oxygen Saturation 1st Volume","%"
"Dissolved Oxygen Saturation 2nd Volume","%"
"Dissolved Reactive Phosphorus","g/m^3"
"Distance","m"
"Distance from Left True Bank","m"
"Carbon (Dis)","mg/l"
"DRGS error code","None"
"DRGS source node","None"
"Dry Bulk Density","g/cm^3"
"Duration","s"
"Dust Compliance Level","g/m^2/30d"
"Dustfall Insolubles","g/m^2/30d"
"E-Coli","cfu/100ml"
"E-Coli MPN","MPN/100ml"
"Evapotrans","mm"
"Emulsifiable Oil","g/m^3"
"Endosulfan 2","mg/m^3"
"Endosulfan I","g/m^3"
"Endosulfan sulphate","g/m^3"
"Endrin","g/m^3"
"Endrin aldehyde","g/m^3"
"Endrin Ketone","g/m^3"
"Energy","kWh"
"Enterococci","cfu/100ml"
"Enterococci MPN","MPN/100ml"
"Enterovirus","cfu/100ml"
"Epilimnion 1/4 depth","m"
"Epilimnion 3/4 depth","m"
"Epilimnion Bottom Depth","m"
"EPT Taxa Count","#"
"Evapo Rate","mm/hr"
"Est Chemical Oxygen Demand","kg/d"
"Estimated BOD","kg/d"
"Ethanol Extraction","g/m^3"
"Ethylbenzene","mg/l"
"Exceedence Count","None"
"Exceedence Rate","%"
"Exchangeable calcium","meq/100g"
"Exchangeable % Sodium","%"
"Exchangeable sodium","meq/100g"
"Extended Metal Suite","g/m^3"
"Faecal Coliforms","cfu/100ml"
"Faecal Coliforms MPN","MPN/100ml"
"fDOM","RFU"
"Fenoprop","mg/m^3"
"Filtered Suspended Solids","g/m^3"
"Fine Sediment Cover (%)","%"
"Floatable Fat","g/m^3"
"Florida Rock Type","%"
"Fluoranthene","mg/m^3"
"Fluorene","mg/m^3"
"Fluorescent Whitening Agent","ug/l"
"Fluoride","g/m^3"
"Fluoride (Kg/Hour)","kg/hr"
"Fluoride Total Daily","kg/d"
"Fluorine","g/m^3"
"Flushing Volume","l"
"Forecast Rainfall","mm"
"Formaldehyde","g/m^3"
"Fragilaria","cells/ml"
"Free Available Chlorine","g/m^3"
"Free carbon dioxide","g/m^3"
"Free Cl","mg/l"
"Frequency","Hz"
"Fuel","l"
"Fuel weight","kg"
"gamma-BHC","g/m^3"
"Gas Pressure","kPa"
"Gate Position","mm"
"Geo Mean Ammoniacal Nitrogen","g/m^3"
"Geo Mean BOD","g/m^3"
"Geo Mean BOD5","g/m^3"
"Geo Mean CBOD5","g/m^3"
"Geo Mean Dissolved Oxygen","mg/l"
"Geo Mean DRP","g/m^3"
"Geo Mean E-Coli","cfu/100ml"
"Geo Mean Faecal Coliforms","cfu/100ml"
"Geo Mean Nitrate Nitrite Nitrogen","g/m^3"
"Geo Mean Nitrate Nitrogen","g/m^3"
"Geo Mean pH","s.u."
"Geo Mean Total Nitrogen","g/m^3"
"Geo Mean Total Phosphorus","g/m^3"
"Geo Mean Total Suspended Solids","g/m^3"
"Giardia","#/l"
"Gravel_Abstraction","m^3"
"Grease and Oil","g/m^3"
"Groundwater Level","m"
"GZF","m"
"Halogenated Phenols","mg/m^3"
"Hardness Calcium","g/m^3 CaCO3"
"Hardness Magnesium","g/m^3 CaCO3"
"Hazen colour Filtered","Hazen"
"Hazen colour unfiltered","Hazen"
"Heptachlor","mg/m^3"
"Heptachlor epoxide","mg/m^3"
"Heterotrophic Plate Count 20'C","#/100ml"
"Heterotrophic Plate Count 35'C","#/100ml"
"Hexachlorobenzene","mg/m^3"
"Stage","m"
"Stage Offset","m"
"High Ammoniacal Nitrogen","g/m^3"
"Tide Height","m"
"Hydraulic Conductivity","m/d"
"Hydraulic Radius","m"
"Hydrocarbons - Total Petroleum","g/m^3"
"Hydrocarbons Polycyclic Aroma","mg/m^3"
"Hydrogen Chloride","ppm"
"Hydrogen Fluoride","ppm"
"Hydrogen Sulphide","ppm"
"Hydrogen-2","delta per mille"
"Hypo Anoxic Sample Depth","m"
"Hypolimnion Sampling Depth","m"
"Hypolimnion Top Depth","m"
"Imbalance","%"
"Indeno-123-cd-pyrene","g/m^3"
"Inflow","m^3"
"Inorganic Carbon","mg/l"
"Inorganic Suspended Solids","g/m^3"
"Insoluble Solids","g/m^2/30d"
"Internal Temp","degC"
"Iodide","g/m^3"
"Iodine","g/m^3"
"Ion Balance","%"
"Iron","g/m^3"
"Iron Acid Soluble","g/m^3"
"Iron Dissolved","g/m^3"
"Iron Total","g/m^3"
"Iron Total Recoverable","g/m^3"
"ISO-B Depth","m"
"ISO-T Depth","m"
"Ice Thickness","cm"
"J Rock type","%"
"K12 Rock Type","%"
"K20 Rock Type","%"
"Kaiyang Rock Type","%"
"Lake Level","m"
"Lake Level - Regulatory","m"
"Lake/res elevation","m"
"Lead","g/m^3"
"Lead Acid Soluble","g/m^3"
"Lead Dissolved","g/m^3"
"Lead Total","g/m^3"
"Lead Total Recoverable","g/m^3"
"Length of Purge Time","min"
"Length of Purge Time 1st Volume","min"
"Length of Purge Time 2nd Volume","min"
"Level Survey Result","m"
"Lindane","mg/m^3"
"Lithium Total","g/m^3"
"Lithium Total Recoverable","g/m^3"
"Location Elevation","m"
"Total Storage","m^3"
"Magnesium Base Saturation","%"
"Magnesium Dissolved","g/m^3"
"Magnesium Hardness","g/m^3"
"Magnesium Total","g/m^3"
"Manganese","g/m^3"
"Manganese Acid Soluble","g/m^3"
"Manganese Dissolved","g/m^3"
"Manganese Total","g/m^3"
"Manganese Total Recoverable","g/m^3"
"Maximum Depth","m"
"Maximum Gauged Depth","m"
"MCI","MCI Score"
"MCPA","mg/m^3"
"MCPB","mg/m^3"
"Mean Aluminium Acid Soluble","g/m^3"
"Mean Ammoniacal Nitrogen","g/m^3"
"Mean Antimony Total","g/m^3"
"Mean Arsenic Total","g/m^3"
"Mean Biochemical Oxygen Demand","g/m^3"
"Mean BOD5","g/m^3"
"Mean Cadmium Total","g/m^3"
"Mean CBOD","g/m^3"
"Mean Cobalt Total","g/m^3"
"Mean Copper Total","g/m^3"
"Mean Dissolved Oxygen","g/m^3"
"Mean E-Coli","cfu/100ml"
"Mean Faecal Coliforms","cfu/100ml"
"Mean Grease Oil","g/m^3"
"Mean Hydrogen Chloride","ppm"
"Mean Hydrogen Fluoride","ppm"
"Mean Inflow","m^3"
"Mean Lead Total","g/m^3"
"Mean Manganese Total","g/m^3"
"Mean Mercury Total","g/m^3"
"Mean Nickel Total","g/m^3"
"Mean Nitrate Nitrogen","g/m^3"
"Mean Nitrogen Dioxide","mg/m^3"
"Mean pH","s.u."
"Mean PM10","ug/m^3"
"Mean Rate of Application","mm/d"
"Mean Sulphur Dioxide","mg/m^3"
"Mean Thallium Total","g/m^3"
"Mean Total Chromium","g/m^3"
"Mean Total Kjeldahl Nitrogen","g/m^3"
"Mean Total Nitrogen","g/m^3"
"Mean Total Phosphorus","g/m^3"
"Mean Total Residual Chlorine","g/m^3"
"Mean Total Sulphide","g/m^3"
"Mean Total Suspended Solids","g/m^3"
"Mean Vanadium Total","g/m^3"
"Mean Head","ft"
"Mecoprop","mg/m^3"
"Median Aluminium Acid Soluble","g/m^3"
"Median Aluminium Dissolved","g/m^3"
"Median Ammoniacal Nitrogen","g/m^3"
"Median Arsenic","g/m^3"
"Median BOD","g/m^3"
"Median BOD5","g/m^3"
"Median Cadmium","g/m^3"
"Median Chromium 3","g/m^3"
"Median Chromium 6","g/m^3"
"Median Copper","g/m^3"
"Median E-Coli","cfu/100ml"
"Median Enterococci","MPN/100ml"
"Median Faecal Coliforms","cfu/100ml"
"Median Grease and Oil","g/m^3"
"Median Lead","g/m^3"
"Median Mercury","g/m^3"
"Median Nickel","g/m^3"
"Median Nitrate Nitrogen","g/m^3"
"Median pH","s.u."
"Median Sodium Absorption Ratio","Ratio"
"Median Suspended Solids","g/m^3"
"Median Total Nitrogen","g/m^3"
"Median Total Phosphorus","g/m^3"
"Median Zinc","g/m^3"
